variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,model
mu,0.01623311987076846,0.0167446105,0.03417811081997828,0.0339577624722,-0.04093093,0.07164655435,1.0006135342560212,7587.597376578903,3905.1766663100743,Model 0
alpha,0.30562488905,0.304495825,0.022031643238726747,0.02159079245400003,0.2715893215,0.34370347,1.0028882516541189,2225.135302395217,3118.6487486929345,Model 0
rho,3.02384092824,3.00196385,0.49219184393188037,0.48937060347000017,2.259049755,3.8498376149999998,1.0013570639092684,2647.0026271104457,3205.108292837308,Model 0
phi,47.6025610268,47.514922,3.8439864306654097,3.8606140460999967,41.457925249999995,54.128316,1.0018037663658281,5041.497306211394,3653.746810535493,Model 0
mu,0.01643134837224675,0.0155896985,0.033954164446790634,0.03337383245616,-0.0392619747,0.07270306305000003,1.0018811794320013,7621.2974737786335,3236.004834024465,Model 1
beta_climate[1],-0.0114994281216599,-0.0115504515,0.01237812476634695,0.012500602167689999,-0.03164720085,0.009115655035000008,1.000296572752191,9340.347521821684,3798.780373867369,Model 1
beta_climate[2],0.00317481622038554,0.0031177986499999998,0.010441988146673518,0.010309319886599999,-0.01375345035,0.020461392900000003,1.0020197621429898,8106.189241749626,4116.281818671203,Model 1
alpha,0.3055534085,0.304684965,0.02159989229404155,0.021662327904000026,0.2723039775,0.3422768725,1.0021744298728468,2211.2386465550976,3304.249880373672,Model 1
rho,3.0358431511,3.02266765,0.4866220876408951,0.47821211109000034,2.26801828,3.87029708,1.0005822910567008,2533.41048418605,3525.3848249883786,Model 1
phi,47.4303816688,47.314617999999996,3.8615375990388183,3.8332949172000013,41.3364941,53.964555600000004,1.0028184052354387,5199.109735037607,3402.3811504733276,Model 1
prop_climate,0.00512936092412332,0.00376281795,0.004847225424473594,0.0038003229310199995,2.907828795e-4,0.014496657400000003,1.0006785394480051,4270.345544923759,3652.3609452679752,Model 1
residual_amplitude,0.276599729784,0.27642486499999996,0.007201690344741583,0.007131609932999935,0.2648184145,0.288760959,0.9998736185338728,4586.278593382387,4115.021728984559,Model 1
mu,0.0252991568471374,0.0247862965,0.03913438556731147,0.038076398325945,-0.0389964714,0.08948295765000004,1.0019703157330009,10363.642171623493,3718.4314655730013,Model 2
beta[1],-0.01162329493208882,-0.011520487999999999,0.012623346433453236,0.012758705629529998,-0.032159368199999996,0.00935629138,0.9998509922373686,6926.4946103857765,3576.3928963116605,Model 2
beta[2],0.003129997783389312,0.0031628115,0.010582760271348446,0.010844954578289998,-0.013928687899999998,0.020333875350000006,1.0004771141431819,6576.230683523838,4510.274640349484,Model 2
beta[3],-0.337967811237304,-0.33873976,0.36885018337160874,0.36890272624799997,-0.9369939134999999,0.2724332595000001,1.0001594458196321,11631.593980614254,3871.492330224106,Model 2
beta[4],0.1092949482904206,0.109659735,0.18187690523347672,0.18492844378889997,-0.189251235,0.40496616050000006,1.0030887657679237,11300.759623645852,3404.985380575771,Model 2
alpha,0.302297911852,0.301287015,0.020854739739236912,0.020114960523000002,0.2704014775,0.3388389845,1.0051048574533343,2152.3749768994285,3457.061327718996,Model 2
rho,2.88635033442,2.8730730500000004,0.4580811652226232,0.4535614398000006,2.16105466,3.6803887,1.0003173146227806,3169.5477100848875,3385.810565652653,Model 2
phi,47.3514940236,47.24363700000001,3.843699933633867,3.8437175952000016,41.242786450000004,53.8143581,1.0022992475060162,4466.445011964633,3543.7059931501167,Model 2
temp_effect,0.988522747282,0.988545615,0.012481675559626756,0.012618771836999918,0.9683522434999999,1.0094001750000001,0.999850962487067,6926.463188482891,3576.3928963116605,Model 2
rain_effect,1.003191067736,1.0031678,0.010617720879740389,0.010869489162000005,0.9861678655,1.0205419999999998,1.000477130306435,6576.209939741676,4510.274640349484,Model 2
wolbachia_effect,0.763539430156,0.7126679,0.29266689940058477,0.260875508712,0.391803865,1.31315582,1.0000116797334664,11631.593980614254,3871.492330224106,Model 2
npi_effect,1.13404351141,1.1158983,0.20705406076294694,0.20551918325400007,0.8275785695,1.4992517900000002,1.003010764120944,11300.790366072597,3404.985380575771,Model 2
prop_climate,0.00488067146464066,0.0035820258000000002,0.004555742410897159,0.0035319159180900003,3.16340479e-4,0.014046164950000002,1.000720030353963,3557.784161198754,3298.134826626108,Model 2
prop_wolbachia,0.03458846251730993,0.020610183,0.038682198914932145,0.0271783538061,2.1484806600000005e-4,0.1136336235,0.9997865569382082,5618.7199470370315,3635.685094371643,Model 2
prop_npi,0.0341259802730738,0.0181220565,0.04025496404718522,0.024382256715810003,2.0443031850000002e-4,0.11987003700000001,1.0013018021988611,4188.20724049908,3680.2243895636116,Model 2
prop_residual,0.926404885616,0.950937285,0.07001393602774408,0.04844804697600008,0.7801520055000001,0.9929151730000001,1.0004459747510115,5061.399399863938,4196.7661490323235,Model 2
